Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459203,0,-0.159668,-0.8320313,0.3647461,-2.793893,5.076336,6.748092
1609459203,216,-0.2153321,-0.8740234,0.3774414,-4.007634,4.259542,3.259542
1609459204,0,-0.2172852,-0.8476563,0.3520508,-6.10687,7.80916,-0.03816794
1609459204,218,-0.1474609,-0.8476563,0.3364258,3.435115,-24.61832,-11.87023
1609459204,436,-0.1689453,-0.8403319,0.4013672,-4.664122,2.351145,-1.633588
1609459204,655,-0.1367188,-0.8432616,0.3803711,-3.358778,2.839695,0.1908397
1609459204,876,-0.1884766,-0.9179687,0.4453125,27.0916,7.068702,31.79389
1609459205,0,-0.4257813,-0.4985352,0.5302734,6.015267,-64.45802,41.83969
1609459205,259,-0.265625,-0.5644531,0.5488281,-29.36641,-73.34351,14.24428
1609459205,523,0.08105469,-1.044922,0.4580078,-47.99237,-114.7176,-24.0687
1609459206,0,0.5571289,-0.9399415,0.1220703,-53.27481,23.03817,10.59542
1609459206,253,0.3364258,-1.251953,0.2104492,-35.9771,26.99237,6.763359
1609459206,509,0.2963867,-0.8632813,0.0288086,-20.17557,74.22137,-25.74809
1609459206,760,0.1225586,-0.7246094,0.05517578,-15.80916,79.68702,11.44275
1609459207,0,-0.3129883,-0.7197266,0.1386719,-27.41985,66.19084,-3.885496
1609459207,253,-0.2211914,-1.148926,-0.1464844,-10.87023,49.35115,-6.068702
1609459207,508,-0.0234375,-1.044434,-0.1005859,5.778626,-4.435114,24.21374
1609459207,768,-0.1933594,-0.9511718,-0.0288086,12.12214,16.31298,-8.511451
1609459208,0,0.1894531,-1.039551,0.06689453,22.61832,47.1832,-23.12214
1609459208,262,-0.05029297,-0.8476563,0.203125,-4.427481,6.763359,8.671756
1609459208,522,-0.1894531,-1.095215,0.2099609,-41.98473,-7.251908,21.61069
1609459208,782,0.01123047,-0.9140625,-0.1308594,0.4198473,-10.19084,12.80916
1609459209,0,-0.1884766,-1.070313,0.00488281,19.27481,-7.778626,-0.2977099
1609459209,256,0.00292969,-0.9907227,0.03710938,1.0,-0.5038168,-10.91603
1609459209,516,-0.1767578,-0.9057616,0.2114258,-7.763359,22.47328,5.816793
1609459209,778,-0.02490234,-1.056152,-0.2167969,-18.29008,-114.3664,17.70229
1609459210,0,-0.1831055,-0.9648438,-0.04296875,13.32824,-36.27481,-1.10687
1609459210,266,-0.01025391,-0.8779297,0.01416016,-6.320611,-39.09924,-14.32061
1609459210,527,-0.1245117,-0.862793,0.1674805,-2.541985,29.92366,-6.427481
1609459210,784,-0.0703125,-1.008301,-0.1074219,-33.66412,-54.70229,-8.076336
1609459211,0,-0.1699219,-0.9150391,-0.1025391,0.8396946,-15.41221,16.70992
1609459211,266,0.03027344,-1.146484,0.0390625,-13.26718,87.22137,-42.94656
1609459211,532,-0.04296875,-0.8520508,0.04638672,-11.8855,18.16031,-15.41221
1609459212,0,-0.2929688,-1.273438,-0.1494141,-23.86259,-48.66412,38.29008
1609459212,268,-0.2719727,-0.796875,-0.1181641,25.20611,-32.40458,32.9771
1609459212,532,-0.3251953,-1.365234,0.04980469,-11.14504,-23.37405,-30.0916
