Ax,Ay,Az,Gx,Gy,Gz
0.6040039,-0.453125,0.7133789,-2.129771,2.328244,-5.122138
0.5986328,-0.4472656,0.671875,-2.824427,2.877863,-3.229008
0.5341797,-0.6030273,0.5249023,36.17557,11.03817,-30.71756
-0.005859375,0.02392578,0.2172852,-23.80153,-20.82443,-51.26717
-0.8588867,-0.2714844,1.113281,127.0458,250.1298,57.79389
0.7851563,-0.3378906,0.9125977,-20.85496,-63.1145,3.137405
0.6806641,0.4384766,2.515137,-60.71756,250.1298,32.87786
-0.8911133,-0.671875,1.38916,88.87023,-125.4657,19.49618
0.05175781,-0.06835938,0.02539062,46.06107,-112.0076,2.862595
0.1396484,0.1567383,-0.05224609,-66.20611,-51.9542,49.43512
0.06298828,0.05126953,0.1030273,-182.8626,-33.07634,-72.28244
-0.08886719,0.05517578,0.1269531,-10.53435,129.5802,-7.961832
0.765625,-0.1508789,0.8564453,28.18321,208.0611,77
-1.07373,-1.038574,0.2695313,3.916031,186.5649,31.51908
-0.8447266,-0.4980469,1.654785,15.80153,-144.1756,35.39695
0.1191406,-0.05615234,-0.1918945,23.32061,-143.1145,4.603054
0.04443359,-0.1533203,0.08105469,7.076336,53.87023,6.145038
0.125,0.1176758,0.2856445,-203.4809,-50.58779,-155.2137
-0.2109375,0.1064453,0.121582,-67.74809,-32.25191,45.03053
-0.02490234,0.05615234,0.8266602,-9.908397,12.86259,-0.7862596
0.5791016,0.04003906,1.690918,-2.320611,179.4198,10.35878
-1.357422,0.0009765619,1.30957,-4.671756,-127.1145,61.61832
0.05957031,0.1982422,-0.05859375,-92.8855,-249.8015,6.442748
0.09179688,0.02099609,0.08593751,-81.58015,-94.09924,135.7023
-0.2880859,-6.664551,-1.479492,197.7328,250.1298,-248.1832
0.04150391,0.1279297,0.05322266,-95.13741,-248.1832,-106.1298
0.04248047,-0.1308594,0.9599609,11.63359,47.22137,3.343511
0.2509766,-0.1396484,0.9394531,-2.59542,1.732824,-1.007634
-0.6005859,-0.4375,1.533691,-132.145,248.8015,-108.6794
-0.5302734,-0.4404297,0.4389648,69.19847,-102.7023,-111.1985
0.3046875,-0.2714844,-0.7915039,60.71756,-166.2443,250.1298
0.01318359,-0.02392578,0.09228517,-218.6488,-248.1832,207.4962
3.63916,1.444336,-3.091309,-235.3282,-248.1832,-248.1832
0.1000977,-0.1430664,-0.7421875,12.29008,129.9084,-10.80916
0.4125977,0.06445313,-0.9321289,-28.16031,-16.64122,-7.748092
1.82666,-0.002929688,-0.5249023,99.22137,-188.7099,43.75573
0.2207031,-0.04150391,0.01318359,-80.03817,-139.2901,8.221375
0.1186523,0.08056641,-0.1118164,157.6565,-0.961832,-187.3588
0.1381836,-0.03369141,-0.1796875,-25.54198,61.33588,-93.60305
1.529297,0.2226563,-0.2539063,4.030534,-78.39695,-94.9542
1.017578,-0.01464844,-0.1176758,-1.259542,35.76336,-0.9236641
0.65625,0.6499023,-0.1586914,4.664122,48.70992,-30.9542
-0.1333008,-0.03027344,0.4506836,27.25191,-102.0076,-0.480916
0.4082031,-0.7397461,1.623535,-190.1832,127.6718,-9.251908
-0.1767578,-0.1235352,0.3422852,-84.64886,-142.1374,-30.15267
0.2299805,0.02392578,-0.2050781,111.6565,-44.16794,100.3282
-0.004882812,0.02539062,0.2294922,-130.9771,-20.06107,-15.25191
-1.375,0.7148438,-0.1757813,3.618321,250.1298,133
0.2807617,-0.4306641,3.237793,-87.17558,-248.1832,-18.01527
-0.04882813,-0.003417969,0.9414063,-6.167939,-51.08397,-5.931298
-0.2241211,-0.1474609,0.8291016,-38.53435,-44.78626,0.519084
-0.05517578,0.1425781,1.148926,32.54962,138.8321,-57.01527
-2.362793,-0.3852539,1.752441,45.65649,-1.534351,106.4962
-0.1777344,0.02148438,-0.3891602,-120.2061,-198.2748,-28.75573
-0.05908203,-0.4970703,-0.04882813,50.94656,47.38168,188.7939
0.03369141,0.03466797,0.2319336,-175.2061,-8.732824,-117.2901
0.7001953,-0.03076172,-0.4638672,129.9008,250.1298,223.771
0.4038086,-0.2026367,0.9204102,55.28244,-248.1832,-5.801527
0.2250977,-0.09521483,0.9863281,-15.32061,-16.73282,-1.145038
-0.4389648,-0.08349609,1.70459,-41.38168,250.1298,-23.87786
-0.5205078,-0.1547852,0.7675781,-7.717557,-65.9313,-23.42748
0.05419922,-0.05810547,0.5444336,23.37405,-27.78626,-3.167939
-0.08447266,0.1088867,0.1635742,-114.3435,22.14504,139.2977
0.1430664,0.05419922,0.1015625,-157.1527,-98.20611,-2.954198
-0.2226563,0.1918945,0.02978516,-65.96183,166.3588,-25.87786
0.6459961,-0.01025391,0.4130859,1.351145,-3.946565,8.320611
0.6689454,-0.002441406,0.9755859,-5.175572,73.9313,5.137404
-1.210449,-0.2280273,1.34082,-14.22137,113.1069,-60.54962
-0.359375,-0.1459961,0.3828125,-14.03053,-139.5573,-9.274809
0.1894531,-0.2319336,0.4477539,-37.19084,3.603053,15.0458
-0.03271484,0.01416016,0.3149414,42.9313,-103.7328,21.22137
0.2358398,0.0078125,0.1479492,-171.6794,-14.70229,-101.4733
-0.3598633,0.2963867,-0.2573242,-152.0534,250.1298,-46.05344
0.06787109,0.2001953,-0.6977539,-55.89313,250.1298,107.2748
