Ax,Ay,Az,Gx,Gy,Gz
0.1054688,-0.03027344,0.9819336,-3.312977,0.2290076,-1.198473
0.105957,-0.03271484,0.9794922,-3.175573,0.2137404,-1.114504
0.1035156,-0.03271484,0.9790039,-3.251908,0.08396947,-1.114504
0.1079102,-0.03271484,0.9746093,-3.305344,0.1145038,-1.099237
0.105957,-0.03271484,0.9794922,-3.251908,0.03816794,-1.015267
0.1074219,-0.03710938,0.9794922,-3.229008,0.1908397,-1.007634
0.1015625,-0.03417969,0.9692383,-3.48855,0.2061069,-1.236641
0.1054688,-0.03857422,0.980957,-3.19084,0.08396947,-1.015267
0.1030273,-0.03222656,0.9775391,-3.282443,0.1068702,-0.9465649
0.1074219,-0.03417969,0.9765625,-3.236641,0.03816794,-1.099237
0.1132813,-0.03125,0.9746093,-3.343511,-0.05343511,-1.221374
0.1064453,-0.03564453,0.9799805,-3.305344,0.1679389,-0.9389313
0.1103516,-0.03271484,0.9785156,-3.076336,0.1603054,-1.167939
0.1049805,-0.03369141,0.9868164,-3.343511,0.1679389,-1.114504
0.1123047,-0.03710938,0.9780273,-3.305344,0.1526718,-1.206107
0.1044922,-0.03320313,0.9858398,-3.541985,0.03816794,-1.114504
0.09814453,-0.03369141,0.9829102,-3.381679,0.1603054,-1.053435
0.1049805,-0.02832031,0.984375,-3.198473,0.09923664,-1.10687
0.1049805,-0.03417969,0.9780273,-3.519084,0.0610687,-0.961832
0.09863281,-0.02539062,0.9858398,-3.465649,0.03053435,-1.038168
0.1030273,-0.03808594,0.9770508,-3.458015,0.2748091,-1.137405
0.105957,-0.03710938,0.9838867,-3.374046,0.06870229,-1.152672
0.01318359,0.02734375,1.408203,-47.06107,38.86259,-18.34351
0.2368164,-0.6254883,0.8847656,-67.10687,29.76336,49.64885
-0.2758789,-0.06591797,0.8432617,15.77099,-114.1221,144.8931
-0.2856445,-0.1494141,1.129883,-44.58015,2.10687,-16.83206
-0.1767578,-0.1367188,1.027344,-31.47328,17.36641,-2.412214
-0.03222656,-0.125,1.161133,18.51145,-27.32061,-3.427481
0.08837891,-0.01074219,0.8828125,-11.9542,-24.57252,-1.954198
0.01318359,-0.04052734,0.9082031,-21.05343,-17.70992,19.58778
0.190918,0.00390625,1.066406,-47.66412,-113.3359,-8.389313
0.5410156,-0.3642578,0.8525391,-1.152672,139.5649,-1.839695
0.3076172,-0.2666016,0.9433594,-62.29008,-143.374,-1.954198
0.3061523,-0.2509766,1.300781,-6.641222,20.10687,-6.290076
-0.09570313,-0.1069336,0.05615234,-31.18321,126.229,-49.76336
