Ax,Ay,Az,Gx,Gy,Gz
0.7397461,0.02001953,0.65625,24.74046,20.48092,44.35115
0.7226563,0.04833984,0.6987305,33.82443,-0.4198473,-0.8625955
0.6791992,0.190918,0.753418,21.71756,22.92366,-24.32825
0.8408203,0.3886719,0.6757813,-22.08397,-16.99237,-8.236641
0.706543,0.425293,0.527832,36.71756,-10.29771,43.43512
0.918457,0.1323242,0.394043,28.45038,4.038168,62.32824
0.8945313,0.03515625,0.5947266,-3.335878,22.71756,12.78626
0.7553711,-0.01757812,0.5615234,-12.09924,-12.25191,5.122138
0.9243164,0.02441406,0.4614258,10.91603,-24.1145,2.954198
0.8652344,0.02050781,0.4541016,25.54962,-14.54198,18.25954
1.010254,0.1103516,0.4838867,-8.251908,6.793893,-36.34351
0.8989258,0.3251953,0.3330078,-28.34351,5.748092,-15.61832
0.8349609,0.07910156,0.3989258,-61.84733,-1.931298,25.26718
0.9199219,-0.09716797,0.4438477,-10.68702,14.00763,-0.5267176
0.9799805,-0.1748047,0.46875,-3.206107,-6.70229,11.00763
0.9057617,0.1396484,0.453125,63.53435,-7.053435,-14
0.9575195,0.105957,0.6782227,-1.236641,58.83206,50.60305
0.793457,-0.3173828,0.4580078,-44.16794,23.76336,-15.98473
0.7338867,-0.09228517,0.6455078,-74.96947,37.77863,-22.54198
1.07666,0.2548828,0.8188477,-6.396946,73.47327,-26.77863
0.6362305,0.1396484,0.5839844,24.1145,16.46565,-17.16031
0.5322266,0.02880859,0.7988281,-15.85496,75.43511,13.00763
0.5585938,-0.2182617,1.022949,5.08397,82.0229,56.90076
0.1005859,-0.005859375,0.8999023,36.96947,29.77862,-52.40458
-0.008789062,0.1181641,0.8208008,-65.9542,-13.66412,-89.83206
-0.005371094,0.06494141,0.9355469,-5.21374,21.0458,20.12977
-0.07421875,0.06933594,1.185059,-25.70229,18.0458,22.15267
0.006835938,-0.09082031,0.9858398,-3.961832,-22.53435,35.0229
-0.4077148,-0.04541016,0.7543945,58.36641,7.40458,-10.22901
-0.1679688,0.2587891,1.035156,20.77863,7.40458,-18.80916
-0.03857422,0.1347656,1.052246,-12.61832,36.35115,-6.114504
0.1186523,0.009765625,0.9604492,3.351145,64.08397,43.38168
-0.1845703,0.1040039,0.9238281,-14.39695,-31.35878,40.75573
-0.5146484,0.0546875,0.7836914,50.10687,-30.33588,-8.099236
-0.05371094,0.06982422,0.8291016,-53.71756,-25.06107,-53.38168
0.137207,0.02929688,1.027344,-10.9771,58.89313,-4.244275
0.07861328,0.1567383,1.045898,81.74046,-2.557252,9.091603
0.06787109,0.2250977,0.8793945,-3.862595,-30.28244,-42.21374
0.4057617,0.02490234,1.190918,-6.519084,-79.8168,-67.38168
0.2871094,0.09521483,0.7348633,-37.90076,31.65649,-110.9618
0.1831055,-0.1791992,1.027344,-0.007633588,23.64122,-86.32825
0.1445313,-0.01611328,0.9711914,10.53435,-30.09924,-126.9466
0.3037109,0.1767578,1.053711,-14.66412,-38.19848,-110.3893
0.1660156,0.2504883,0.9228516,-33.78626,7.572519,-75.19847
0.1518555,0.1313477,1.095215,-1.427481,-8.259542,-52.1832
0.0625,0.03173828,0.9414063,5.396946,11.13741,-5.687023
-0.0390625,0.1533203,1.019043,15.45038,-5.10687,5.312977
0.2226563,0.09667969,1.094238,13.73282,7.290076,3.358779
0.05859375,0.1445313,0.9150391,-20.79389,38.63359,60.14504
-0.1425781,0.2138672,1.056641,-3.244275,40.82443,7.992366
-0.2890625,0.3168945,0.8071289,-13.45038,-42.93893,25.34351
0.1787109,-0.2509766,0.9160156,-48.55725,-57.19847,-75.83969
0.2573242,-0.05371094,0.5932617,-6.053435,-1.21374,-23.41985
0.3300781,-0.009277344,0.840332,-1.755725,-20.20611,51.41985
0.5458984,-0.6245117,0.7939454,-30.90076,-35.43512,38.87023
0.4370117,-0.4760742,0.6508789,9.580153,2.885496,-6.320611
0.6499023,-0.4291992,0.6674805,-17.66412,10.50382,-28.47328
0.5703125,-0.4174805,0.6508789,-11.74809,-0.5572519,-2.167939
0.5078125,-0.4741211,0.7055664,-24.32061,4.70229,-6.007634
0.4848633,-0.5678711,0.6884766,-42.8168,35.0229,-41.53435
0.3642578,-0.6699219,0.6191406,5.053435,-13.32824,11.29008
0.3686523,-0.6069336,0.6132813,42.41221,-50.48092,57.39695
0.7792969,-0.5864258,0.559082,78.54962,-81.35878,103.5038
0.6074219,-0.4023438,0.887207,75.08397,10.76336,86.93893
0.3618164,-0.3583984,0.987793,26.35114,-45.26717,87.03053
0.324707,-0.2426758,0.7490234,1.167939,-7.091603,-5.648855
0.3183594,-0.2851563,0.9155273,8.709924,16.39695,-12.28244
